"ISO_2","ISO_3","country","year","final_rank","final","corporate_rank","corporate","income_rank","income","consumption_rank","consumption","property_rank","property","international_rank","international"
"MX","MEX","Mexico",2017,27,53.8092328790596,29,55.6904277680631,16,68.0495074879308,26,49.4178810640379,9,72.3985538348406,35,44.6910751043462
"MX","MEX","Mexico",2018,28,51.4631136806163,30,53.9684846101265,16,69.6808704494349,27,50.5135724223695,8,70.5337024563119,35,46.1658334548592
"MX","MEX","Mexico",2019,30,53.5295243275901,31,51.1070145238879,17,68.0234675152654,29,49.4217128473427,8,69.8681743598525,35,54.2426166124802
"MX","MEX","Mexico",2020,30,52.8623505666461,32,49.1392406093823,16,69.1222093070447,26,61.2901840148003,9,70.1302351122529,35,45.6588147230422
"MX","MEX","Mexico",2021,32,52.14766615832,31,47.4295902036133,16,66.4874689222907,26,61.2651747631735,9,70.041172150243,35,41.8950346499271
"NL","NLD","Netherlands",2014,8,72.2162664499298,18,61.9755286113487,23,62.5557834354313,11,69.3616077653545,19,64.6048255968336,1,100
"NL","NLD","Netherlands",2015,8,70.3198218244986,23,55.4756790376116,25,59.9044248798238,11,69.3760720290286,19,64.1094148500078,1,100
"NL","NLD","Netherlands",2016,8,70.3639119605777,22,58.8618938893654,22,62.9001127419064,12,69.8211826023831,20,63.3800114718505,1,100
"NL","NLD","Netherlands",2017,8,69.5135113744809,24,58.1226453161056,23,61.7662216117692,12,68.5326649575144,20,63.3131746775465,1,100
"NL","NLD","Netherlands",2018,9,68.4285134083446,22,59.14359478106,22,62.2191015075117,11,70.0014490232623,21,60.7228767068216,1,100
"NL","NLD","Netherlands",2019,12,67.3121336729726,24,57.1014534963038,22,62.2517588147241,10,69.624750497244,21,59.7880693374409,2,98.4842400755193
"NL","NLD","Netherlands",2020,14,65.962112991196,24,54.6464660837659,23,61.0587654634886,15,72.5961002021351,21,59.9083746465211,3,98.3464047407906
"NL","NLD","Netherlands",2021,13,66.2493683837566,24,53.2376045275615,22,57.0772619935301,14,73.4392870147346,21,60.0782673147343,3,98.3787776791416
"NZ","NZL","New Zealand",2014,2,77.4148786773621,25,59.9880033869269,5,87.7675627468337,6,81.9084106425559,2,88.2006307150962,29,56.1629773826694
"NZ","NZL","New Zealand",2015,2,76.8952217053053,22,55.6553591825054,5,87.494627807673,6,81.8569276080222,2,87.9251821477488,29,56.7527400473668
"NZ","NZL","New Zealand",2016,4,75.9667136184536,23,58.5326232485939,5,86.5008233203543,6,82.2637827752032,2,87.8461882453276,29,59.0713208515737
"NZ","NZL","New Zealand",2017,3,76.0205412130572,21,59.04993817091,5,86.6405917847481,6,83.7450060459515,2,88.0670335425074,29,59.2068523988946
"NZ","NZL","New Zealand",2018,3,75.0714643374181,21,59.6116315305915,6,86.7696907647205,6,83.9570307878716,2,87.5999257109323,30,58.5697788386964
"NZ","NZL","New Zealand",2019,3,80.6576438408307,23,57.5588260295553,6,87.2958706634707,6,88.6555687060373,2,87.5465880866522,28,70.6511243421215
"NZ","NZL","New Zealand",2020,3,80.2268609068465,27,52.4268491071482,5,87.7772026626217,6,91.8405535086163,2,87.4767147406587,26,71.2315772651143
"NZ","NZL","New Zealand",2021,3,78.3999331213361,28,49.7513845487074,6,83.0717430253341,6,90.4225149106578,2,87.4244071911697,28,70.7589057214994
"NO","NOR","Norway",2014,12,68.3086066296487,21,61.2301054487912,13,75.1796189522496,20,60.1542051662347,14,68.3439864653822,10,78.5942851118605
"NO","NOR","Norway",2015,12,68.0276269094591,20,56.9124303905496,12,74.7043912622502,18,61.2711564161554,13,68.284585912825,9,78.9660889478872
"NO","NOR","Norway",2016,12,67.6805478141117,16,62.9481496173846,11,73.0252736982849,19,61.4490950699871,14,68.5704739024852,9,79.7382304368465
"NO","NOR","Norway",2017,11,67.1596871262469,14,65.0617471466713,14,71.1733787423383,19,59.3870407509728,13,68.1629776549515,11,79.1857159301324
"NO","NOR","Norway",2018,11,66.3054301051859,14,67.7851303119301,12,72.3821782394285,19,60.5674195704547,15,64.8834954181158,9,79.2650753016229
"NO","NOR","Norway",2019,8,69.7439089346595,12,68.4170622793286,15,70.708950136146,19,60.086738915126,15,63.965454488457,6,93.3031655964891
"NO","NOR","Norway",2020,8,69.9243021596788,14,66.0345558855714,15,71.0161879443207,18,68.1545769499504,15,64.0000984220611,8,93.201040029282
"NO","NOR","Norway",2021,8,70.6333277177902,11,66.6227616887283,13,69.8627648524919,18,67.7761502219036,15,64.0768369204779,7,92.9960064327204
"PL","POL","Poland",2014,29,56.3680547190066,11,68.3308897056094,14,73.4940635185833,37,29.1927170310061,29,53.4293512194668,11,77.4564872224829
"PL","POL","Poland",2015,34,52.0655858987224,12,64.3346447700439,14,73.1369077942099,37,29.1007758139673,30,53.0266268827786,25,63.4894188657246
"PL","POL","Poland",2016,33,49.7627402861798,12,67.1728093449277,12,72.8651149678847,37,29.3189841500234,32,48.0691637699842,25,65.393313999988
"PL","POL","Poland",2017,31,52.0564599910414,7,70.744308066729,11,72.2051421030237,37,30.2149507277721,32,48.0444746612312,24,64.6514690272237
"PL","POL","Poland",2018,31,49.108873378638,7,72.9157711193137,14,72.0776962347176,37,29.3313918717331,31,44.7458292821413,25,64.0617452564449
"PL","POL","Poland",2019,32,51.405782498469,13,67.910691340744,12,72.5872162517372,37,29.8900474699474,31,43.3449867432519,23,75.7964326230877
