"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","corporate_time","profit_payments","other_payments","top_income_rate","threshold_top_income_rate","tax_wedge","labor_payments","labor_time","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","consumption_time","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"BE","BEL","Belgium",2016,33.99,0,100,0.875897349190039,0.622404878792567,1.00486525392967,1,1,0,0.155,21,1,8,0.58435331,1.025977,1.20327362914529,2,40,0,1,0.27,21,30487.8048780488,0.473521713334396,75,0.5,0.55028201462451,1,0,0,1,1,0,0.95,0.987878788,0,0.27,0.27,0.27,93,0,0.5
"CA","CAN","Canada",2016,26.7,3,20,0.965116279069767,0.242105263157895,0.518965517241379,0.5,0,1,0.2125,45,1,4,0.495296,4.367895,1.19048091581601,3,36,0.2475,0,0.39343524,10.6,24000,0.474896538948074,50,0.5,1.50744668061051,1,1,0,0,0,1,1,0.5,1,0.25,0.25,0.25,93,0.333333333333333,0.5
"CH","CHE","Switzerland",2016,21.148581,0,7,0.86,0.554838709677419,0.905263157894737,1,0,1,-0.01,15,2,10,0.4173622,3.473149,1.33365663941436,7,40,0,1,0.21135,8,78125,0.698455383839677,8,0.5,0.0666535066378089,0,0,0,0,0,0,1,1,0,0.35,0.35,0,91,0,0.5
"CL","CHL","Chile",2016,24,100,100,0.632611659769417,0.338474732816403,0,0.5,0,1,0.305,42,1,5,0.4,10.035255,1.15535996811267,1,124.5,0.4,0,0.21052632,19,0,0.635162131021544,124.5,0.5,0.380005219783479,1,0,1,0,1,1,0,0,1,0.35,0.35,0.3,25,0.666666666666667,0.5
"CZ","CZE","Czech Republic",2016,19,0,5,0.873879108036537,0.543222830616488,0.841318847888109,0.5,0,1,0.18,53,1,5,0.11,3e-06,1.12910535346641,2,75,0.15,1,0.15,21,75872.5341426404,0.584388568795991,94,0.5,0.0940996626181899,1,0,0,1,1,1,1,1,1,0.15,0.15,0.15,86,0,0.5
"DE","DEU","Germany",2016,29.818844,1,60,0.737888702767901,0.391406012913837,0.869865253929667,1,0,1,-0.02,41,2,6,0.47475,5.529533,1.10371951593734,1,134,0.26375,0,0.26375,19,22151.8987341772,0.547669406184961,43,0.5,0.194152757204606,1,0,0,1,1,1,0.95,0.95,0,0.26375,0,0.15825,94,0.333333333333333,1
"DK","DNK","Denmark",2016,22,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,1,-0.01,27,3,6,0.55794,1.236698,1.28937322967111,1,65,0.42,0,0.42,25,6666.66666666667,0.574223848972526,40,0.5,0.687020917130779,1,0,0,1,1,1,1,1,1,0.27,0.25,0.25,73,0.666666666666667,0.5
"EE","EST","Estonia",2016,20,100,100,1,1,1,1,1,1,0,20,1,7,0.2032,0.143966,1.05199374174167,0,34,0.2,0,0,20,28571.4285714286,0.697810319567046,27,1,0.143594615144962,1,1,1,1,1,1,1,0,1,0,0,0.1,56,0.666666666666667,0
"ES","ESP","Spain",2016,25,0,60,0.778563038959402,0.391406012913837,0.278958448750364,0.5,0,0,0.305,33,1,7,0.45,2.445619,1.12650205184082,1,90,0.23,0,0.23,21,0,0.406427261455261,35,0,0.50456268194178,0,0,0,1,0,1,1,1,1,0.19,0.19,0.19,92,0.333333333333333,1
"FI","FIN","Finland",2016,20,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,1,-0.005,21,1,4,0.57467517,2.255193,1.26995483889619,3,48,0.34,0,0.289,24,10752.688172043,0.542992338271503,24,0.5,0.313186134705762,1,0,1,1,1,0,1,1,1,0.2,0,0.2,75,0.666666666666667,1
