ISO_2,ISO_3,country,year,corporate_rate,loss_carryback,loss_carryforward,machines_cost_recovery,buildings_cost_recovery,intangibles_cost_recovery,inventory,allowance_corporate_equity,patent_box,r_and_d_credit,digital_services_tax,corporate_time,profit_payments,other_payments,top_income_rate,threshold_top_income_rate,tax_wedge,labor_payments,labor_time,capital_gains_rate,index_capital_gains,dividends_rate,vat_rate,vat_threshold,vat_base,consumption_time,property_tax,property_tax_collections,net_wealth_str,estate_or_inheritance_tax_str,transfer_tax,asset_tax_str,capital_duties_str,financial_transaction_tax_str,dividends_exemption,capital_gains_exemption,country_limitations,dividends_withholding_tax,interest_withholding_tax,royalties_withholding_tax,tax_treaties,cfc_rules,thin_capitalization_rules
CO,COL,Colombia,2015,0.39,0,100,0.737888703,0.547953911,0.869865254,0.5,0,0,0.31,0,50,1,8,0.33,10.910447,0,1,87,0.1,NA,0,16,0,0.405465129,66,0.5,0.458548263,Net Wealth Tax,No,Real Estate Registration Tax,No,No,Yes,1,0,0,0.33,0.33,0.33,5,0,0.5
CO,COL,Colombia,2016,0.4,0,100,0.737888703,0.547953911,0.869865254,0.5,0,0,0.38,0,86,2,8,0.33,11.369485,0,1,87,0.1,NA,0,16,0,0.422509424,66,0.5,0.474505963,Net Wealth Tax,No,Real Estate Registration Tax,No,No,Yes,1,0,0,0.33,0.33,0.33,7,0,0.5
CO,COL,Colombia,2017,0.4,0,12,0.737888703,0.547953911,0.869865254,0.5,0,0,0.395,0,86,2,8,0.33,11.492163,0,1,87,0.1,NA,0,19,0,0.414249785,66,0.5,0.468504992,Net Wealth Tax,No,Real Estate Registration Tax,No,No,Yes,1,0,0,0.4,0.33,0.33,9,0.333333333,0.5
CO,COL,Colombia,2018,0.37,0,12,0.737888703,0.305956531,0.869865254,0.5,0,0,0.315,0,86,2,9,0.33,11.615895,0,1,87,0.1,NA,0,19,0,0.384774138,66,0.5,0.455043429,Net Wealth Tax,No,Real Estate Registration Tax,No,No,Yes,1,0,0,0.35,0.15,0.264,9,0.333333333,0.5
CO,COL,Colombia,2019,0.33,0,12,0.737888703,0.305956531,0.869865254,0.5,0,0,0.305,0,86,2,9,0.33,11.452119,0,1,87,0.1,NA,0,19,0,0.371582512,66,0.5,0.46759971,Net Wealth Tax,No,Real Estate Registration Tax,No,No,Yes,1,0,0,0.33,0.15,0.264,9,0.666666667,0.5
CO,COL,Colombia,2020,0.32,0,12,0.737888703,0.305956531,0.869865254,0.5,0,0,0.295,0,97.5,1,9,0.33,11.252236,0,1,87,0.1,NA,0,19,0,0.382286462,71,0.5,0.468860099,Net Wealth Tax,No,Real Estate Registration Tax,No,No,Yes,1,0,0,0.32,0.2,0.2,9,0.666666667,0.5
CO,COL,Colombia,2021,0.31,0,12,0.737888703,0.305956531,0.869865254,0.5,0,0,0.44,0,97.5,1,7,0.33,13.489476,0,2,87,0.1,NA,0,19,0,0.391503667,71,0.5,0.470855797,Net Wealth Tax,No,Real Estate Registration Tax,No,No,Yes,1,0,0,0.32,0.2,0.2,9,0.666666667,0.5
CZ,CZE,Czech Republic,2014,0.19,0,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.175,0,53,1,5,0.15,3.00E-06,1.138235968,2,75,0,1,0.15,21,67707.95356,0.565403521,102,0.5,0.091880062,No,Inheritances and gifts are subjected to Income Tax,No,No,No,No,1,1,1,0.15,0.15,0.15,83,0,0.5
CZ,CZE,Czech Republic,2015,0.19,0,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.18,0,53,1,5,0.15,3.00E-06,1.133819821,2,75,0,1,0.15,21,67707.95356,0.563640626,102,0.5,0.09298434,No,Inheritances and gifts are subjected to Income Tax,No,No,No,No,1,1,1,0.15,0.15,0.15,83,0,0.5
CZ,CZE,Czech Republic,2016,0.19,0,5,0.873879108,0.543222831,0.841318848,0.5,0,0,0.18,0,53,1,5,0.15,3.00E-06,1.129105353,2,75,0,1,0.15,21,75872.53414,0.580515464,102,0.5,0.090881443,No,Inheritances and gifts are subjected to Income Tax,No,No,No,No,1,1,1,0.15,0.15,0.15,86,0,0.5
