"","country","year","ISO-3","losscarryback","losscarryforward","inventory","patentbox","rndcredit","corptime","profitpayments","otherpayments","consumptiontime","propertytaxes","netwealth","estate/inheritance tax","transfertaxes","Assettaxes","capitalduties","financialtrans","capgainsrate","capgainsindex","laborpayments","labortime","dividendexempt","capgainsexemption","divwithhold","intwithhold","roywithhold","taxtreaties","countrylimitations","thincap","corprate","divrate","incrate","progressivity","taxwedge","ISO-2","pdvmachines","pdvbuildings","pdvintangibles","vatrate","threshold","base","propertytaxescollections","cfcrules"
"81","Finland",2016,"FIN",0,10,0,0,0,21,1,4,24,0.5,0,1,0,0,0,1,0.34,"0",3,48,1,1,0.2,0,0.2,75,1,1,0.2,0.289,0.5159,2.255193,1.26995483889619,"FI",0.826923076923077,0.518965517241379,0.737888702767901,24,10752.688172043,0.543890115085756,0.423011485422539,0.666666666666667
"82","France",2016,"FRA",1,50,0.5,1,1,26,1,6,31,1,1,1,1,1,1,1,0.3444675,"0",2,80,0.95,0.88,0.3,0,0.3333,122,1,1,0.3443,0.44001,0.54501,14.909681,1.2378129701463,"FR",0.857738015451725,0.547953910556565,0.869865253929667,20,100243.902439024,0.48566405924343,1.63582265001634,0.666666666666667
"83","Germany",2016,"DEU",1,60,1,0,0,41,2,6,43,1,0,1,1,0,0,0,0.26375,"0",1,134,0.95,0.95,0.26375,0,0.15825,94,0,1,0.29818844,0.26375,0.47475,5.529533,1.10371951593734,"DE",0.737888702767901,0.391406012913837,0.869865253929667,19,22151.8987341772,0.556567367932321,0.26468755015892,0.333333333333333
"84","Greece",2016,"GRC",0,5,1,0,1,78,1,6,69,1,0,1,1,0,1,0,0.23,"0",1,46,1,0,0.1,0.15,0.2,57,1,1,0.29,0.1,0.5,24.577888,1.30467683854361,"GR",0.737888702767901,0.479318672008477,0.737888702767901,23,16393.4426229508,0.436878506277984,1.14252182542054,0.333333333333333
"85","Hungary",2016,"HUN",0,2.5,0.5,1,1,35,2,7,96,1,0,1,1,1,0,1,0.15,"0",2,146,1,1,0,0,0,77,0,0.5,0.19,0.15,0.16,0,1,"HU",0.816200383417959,0.278958448750364,0.869865253929667,27,44822.9493500672,0.567176393235143,0.384736455136439,0.666666666666667
"86","Iceland",2016,"ISL",0,10,0.5,0,1,40,1,7,40,1,0,1,0,1,0,0,0.2,"0",13,60,1,1,0.18,0.1,0.2,39,0,0,0.2,0.2,0.4624,1.363465,1.25949960217418,"IS",0.86,0.477777777777778,0.812269350072009,24,7032.3488045007,0.546822043581059,1.10336529143675,0.666666666666667
"87","Ireland",2016,"IRL",1,100,0.5,1,1,12,1,7,30,0.5,0,1,1,0,0,0,0.33,"0",1,40,0,1,0.2,0.2,0.2,70,1,0,0.125,0.51,0.48,1.601154,1.47849745001673,"IE",0.787075165170195,0.479318672008477,0.547953910556565,23,88339.222614841,0.498533689864113,0.686508424627591,0
"88","Israel",2016,"ISR",0,100,0.5,0,0,110,2,14,69,1,0,0,1,0,0,0,0.27,"1",12,60,0,0,0.3,0.25,0.25,53,1,0,0.25,0.32,0.5,5.80213,1.72543938397561,"IL",0.869865253929667,0.547953910556565,0.787075165170195,17,25517.0103092784,0.632540965239364,1.56206626451323,0.666666666666667
"89","Italy",2016,"ITA",0,80,1,1,1,39,2,11,32,1,1,1,1,0,1,1,0.26,"0",1,198,0.95,0.95,0.26,0.26,0.225,96,1,1,0.3129275,0.26,0.488131,9.819967,1.21194454567725,"IT",0.760252585046526,0.462657542127945,0.965116279069767,22,40000,0.378756793044304,0.869160172381578,0.666666666666667
"90","Japan",2016,"JPN",0,7.2,1,0,1,87,3,13,23,1,0,1,1,0,1,0,0.204,"0",14,72.5,0.95,0,0.2042,0.2042,0.2042,62,0,0.5,0.2997,0.2032,0.55945,8.739852,1.14198214852227,"JP",0.769602272727273,0.278958448750364,0.787075165170195,8,94939.7132820659,0.7125070110352,1.20314055601556,0.666666666666667
"91","Korea",2016,"KOR",0.5,8,1,1,1,83,2,8,25,1,0,1,1,0,1,1,0,"1",2,80,0,0,0.22,0.22,0.22,85,1,0.5,0.242,0.35398,0.41799999,4.1235,1.2473294809564,"KR",0.921720532319392,0.547953910556565,0.737888702767901,10,26928.4712482468,0.696451079081173,0.424668216568401,0.666666666666667
"92","Latvia",2016,"LVA",0,100,0.5,0,1,28,1,5,66,0.5,0,0,1,0,0,0,0.15,"0",1,99,1,1,0,0,0,58,1,0.5,0.15,0.1,0.23,0.104819,1.03894267570866,"LV",0.905263157894737,0.614285714285714,0.869865253929667,21,98619.3293885602,0.55204813174365,0.518218730612681,0
"93","Lithuania",2016,"LTU",0,70,1,0,1,28,1,8,58,0.5,0,1,0,0,0,0,0.15,NA,2,85,1,1,0.15,0.1,0.1,53,1,0.5,0.15,0.15,0.15,0.231005,1.0581364450969,"LT",0.918446601941748,0.838302752293578,0.980369718309859,21,100671,0.506629640715944,0.247047777104198,0.333333333333333
"94","Luxembourg",2016,"LUX",0,100,1,1,1,19,5,6,22,1,0,1,1,1,0,0,0,"1",12,14,1,1,0.15,0,0,74,0,0.5,0.2922,0.2,0.436,2.932785,1.34592219602226,"LU",0.870869546099498,0.479318672008477,0.869865253929667,17,27777.7777777778,0.920716527656256,0.0628964597066956,0
"95","Mexico",2016,"MEX",0,10,1,0,1,102,1,3,100,0.5,0,0,1,0,0,0,0.1,"1",2,38.5,0,0,0.1,0.4,0.4,55,1,0.5,0.3,0.17142857,0.35,27.92276,1.25575786366679,"MX",0.737888702767901,0.547953910556565,0.737888702767901,16,0,0.334129712488695,0.154674766413326,1
"96","Netherlands",2016,"NLD",1,9,1,1,0,22,1,7,34,0.5,0,1,1,0,0,0,0.3,"1",1,64,1,1,0.15,0,0,96,0,0,0.25,0.25,0.52,1.221825,1.32193547256796,"NL",0.965116279069767,0.338474732816403,0.737888702767901,21,1620.48192771084,0.514299988155268,0.665984974653641,0
"97","New Zealand",2016,"NZL",0,100,0.5,0,1,34,1,5,59,0,0,0,0,0,0,0,0,"1",2,59,1,1,0.3,0.15,0.15,39,0,0.5,0.28,0.06944444,0.33,1.247558,1.50905347658731,"NZ",0.731914893617021,0.307142857142857,0.737888702767901,15,40816.3265306122,0.95224411225627,1.65271786143908,0.333333333333333
"98","Norway",2016,"NOR",0,100,0,0,1,24,1,2,44,1,1,0,1,1,0,0,0.288,"0",1,15,0.97,0.97,0.25,0,0,87,1,1,0.25,0.2875,0.39,1.587811,1.28696507680259,"NO",0.781818181818182,0.373913043478261,0.737888702767901,25,5102.04081632653,0.565921326183334,0.236457831118424,0.666666666666667
"99","Poland",2016,"POL",0,2.5,1,0,1,70,1,4,96,1,0,1,1,1,1,1,0.19,"0",2,103,1,0,0.19,0.2,0.2,84,1,1,0.19,0.19,0.32,2.181915,1.03968166817908,"PL",0.737888702767901,0.338474732816403,0.869865253929667,23,83333.3333333333,0.441385620326629,1.21259987956723,0.666666666666667
"100","Portugal",2016,"PRT",0,8.4,0.5,0,1,63,1,6,96,0.5,0,1,1,1,0,1,0.28,"1",1,116,1,1,0.25,0.25,0.25,64,1,1,0.295,0.28,0.565,16.129828,1.29717344698076,"PT",0.888411247396436,0.547953910556565,0.737888702767901,23,16949.1525423729,0.492153165545173,0.514920785409815,0.666666666666667
"101","Slovak Republic",2016,"SVK",0,4,0.5,0,1,42,1,9,84,0.5,0,0,0,1,0,0,0,"0",1,62,1,0,0,0.19,0.19,66,1,1,0.22,0,0.25,3.793434,1.11940701502723,"SK",0.873879108036537,0.652728119257913,0.869865253929667,20,99580,0.495470639649474,0.270502227677042,0
"102","Slovenia",2016,"SVN",0,50,0.5,0,0,74,1,8,69,1,0,1,1,1,0,0,0,"1",1,90,0.95,0.475,0.15,0.15,0.15,57,1,0.5,0.17,0.25,0.5,5.265523,1.19592515487121,"SI",0.869865253929667,0.391406012913837,0.737888702767901,22,83333.3333333333,0.583747031500922,0.29866241588149,0
"103","Spain",2016,"ESP",0,60,0.5,1,1,33,1,7,35,1,1,1,1,0,1,0,0.23,"0",1,90,1,1,0.19,0.19,0.19,92,1,1,0.25,0.23,0.45,2.445619,1.12650205184082,"ES",0.778563038959402,0.391406012913837,0.737888702767901,21,0,0.430877668728623,0.671372899312731,0.333333333333333
"104","Sweden",2016,"SWE",1.5,100,0,0,0,50,1,4,36,0.5,0,0,1,0,0,0,0.3,"0",1,36,1,1,0.3,0,0,81,0,0.5,0.22,0.3,0.5699,1.519275,1.24123188281099,"SE",0.86,0.479318672008477,0.86,25,0,0.597513703470289,0.526298725060529,0.666666666666667
"105","Switzerland",2016,"CHE",0,7,1,0,0,15,2,10,8,1,1,1,1,1,1,1,0,"1",7,40,1,1,0.35,0.35,0,91,0,0.5,0.21148581,0.21135,0.4167,3.473161,1.33365541819148,"CH",0.86,0.554838709677419,0.905263157894737,8,78125,0.682580340126438,0.0897070271309894,0
"106","Turkey",2016,"TUR",0,5,0.5,1,1,49,1,8,97,0.5,0,1,1,0,1,1,0,"1",1,80,1,1,0.15,0.1,0.2,81,0,0.5,0.2,0.175,0.3576,3.862626,1.16086644357649,"TR",0.876323174170354,0.479318672008477,0.632327782275491,18,0,0.400067337416955,0.222781694330123,1
"107","United Kingdom",2016,"GBR",1,100,0,1,1,32,1,6,25,0.5,0,1,1,1,0,1,0.28,"0",1,48,1,1,0,0.2,0.2,124,0,0,0.2,0.381,0.45,4.169222,1.39166394595796,"GB",0.758823529411765,0,0.826923076923077,20,118840.579710145,0.438381144265963,2.49970630726359,0.666666666666667
"108","United States",2016,"USA",2,20,1,0,1,87,2.4,4.6,33,0.5,0,1,1,1,0,1,0.251,"0",3.6,55,0,0,0.3,0.3,0.3,65,0,0.5,0.38923934,0.2851581,0.4625,8.20792,1.25748823286665,"US",0.93846273303009,0.34958311169213,0.632751338890881,7.3,0,0.397,2.01801081021525,0.333333333333333
"109","Australia",2017,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,"0",4,18,1,1,0.3,0.1,0.3,44,0,0.5,0.3,0.2428,0.49,2.194088,1.4134143528398,"AU",0.851484971473245,0.479318672008477,0.547953910556565,10,50335.5704697987,0.495677137783973,0.955322385727872,0.333333333333333
"110","Austria",2017,"AUT",0,75,1,0,1,46,1,8,35,1,0,0,1,1,0,0,0.275,"0",3,50,1,1,0.275,0,0.2,86,0,0.5,0.25,0.275,0.55,24.310926,1.13251138577789,"AT",0.813463195231154,0.391406012913837,0.737888702767901,20,36585.3658536585,0.595346920500117,0.12361216753266,0
"111","Belgium",2017,"BEL",0,100,1,1,1,21,1,8,75,0.5,0,1,1,0,0,1,0,"1",2,40,0.95,0.987878788,0.3,0.3,0.3,93,0,0.5,0.3399,0.3,0.533,1.046325,1.22915827485894,"BE",0.882216122406083,0.622404878792567,0.802532679160089,21,30487.8048780488,0.476392998987602,0.738176031982139,0
"112","Canada",2017,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.2675,"0",3,36,1,0.5,0.25,0.25,0.25,93,1,0.5,0.267,0.39343524,0.535296,4.328839,1.16753592251421,"CA",0.965116279069767,0.242105263157895,0.518965517241379,5,24000,0.474503207079933,1.95417134924071,0.333333333333333
"113","Chile",2017,"CHL",0,100,0.5,0,1,42,1,5,124.5,1,0,1,0,1,0,0,0.35,"0",1,124.5,0,0,0.35,0.35,0.3,26,1,0.5,0.25,0.13333333,0.4,9.754696,1.15013270338827,"CL",0.632611659769417,0.338474732816403,0,19,0,0.638025880525371,0.530151545914639,0.666666666666667
"114","Czech Republic",2017,"CZE",0,5,0.5,0,1,53,1,5,94,1,0,1,1,0,0,0,0.15,"1",2,75,1,1,0.15,0.15,0.15,88,1,0.5,0.19,0.15,0.15,0.371761,1.12395446063395,"CZ",0.873879108036537,0.543222830616488,0.841318847888109,21,75872.5341426404,0.600302406645114,0.125879383488097,0
"115","Denmark",2017,"DNK",0,60,0,0,0,27,3,6,40,0.5,0,1,0,0,0,0,0.42,"0",1,65,1,1,0.27,0.22,0.22,73,1,0.5,0.22,0.42,0.55794,1.249225,1.29210745273779,"DK",0.826923076923077,0.479318672008477,0.81340644290143,25,6666.66666666667,0.596063795426487,0.96460364268842,0.666666666666667
"116","Estonia",2017,"EST",100,100,1,0,0,5,1,7,20,0,0,0,0,0,0,0,0.2,"0",0,31,1,1,0,0,0.1,56,1,0,0.2,0,0.2,0.409786,1.05342664790177,"EE",1,1,1,20,28571.4285714286,0.728150828092231,0.171069392309224,0.666666666666667
"117","Finland",2017,"FIN",0,10,0,0,0,21,1,4,24,0.5,0,1,1,0,0,1,0.34,"0",3,48,1,1,0.2,0,0.2,75,1,1,0.2,0.289,0.5162,1.803856,1.27354071903888,"FI",0.826923076923077,0.518965517241379,0.737888702767901,24,10752.688172043,0.543890115085756,0.446640312985308,0.666666666666667
"118","France",2017,"FRA",1,50,0.5,1,1,28,1,6,31,1,1,1,1,1,1,1,0.3444675,"0",2,80,0.95,0.88,0.3,0,0.3333,122,1,1,0.4442889,0.44001,0.54501,14.802542,1.23116763132598,"FR",0.857738015451725,0.547953910556565,0.869865253929667,20,100243.902439024,0.48566405924343,1.66339348226691,0.666666666666667
"119","Germany",2017,"DEU",1,60,1,0,0,41,2,6,43,1,0,1,1,0,0,0,0.26375,"0",1,134,0.95,0.95,0.26375,0,0.15825,95,0,1,0.29889263,0.26375,0.47475,5.481573,1.10177847768563,"DE",0.737888702767901,0.391406012913837,0.869865253929667,19,22151.8987341772,0.556567367932321,0.273335436716142,0.333333333333333
"120","Greece",2017,"GRC",0,5,1,0,1,78,1,6,69,1,0,1,1,0,1,0,0.25,"0",1,46,1,0,0.15,0.15,0.2,57,1,1,0.29,0.15,0.54,11.232552,1.25204095673012,"GR",0.737888702767901,0.479318672008477,0.737888702767901,24,16393.4426229508,0.436878506277984,1.28692684312807,0.333333333333333
"121","Hungary",2017,"HUN",0,2.5,0.5,1,1,35,2,7,96,1,0,1,1,1,0,1,0.15,"0",2,146,1,1,0,0,0,80,0,0.5,0.09,0.15,0.15,0,1,"HU",0.816200383417959,0.278958448750364,0.869865253929667,27,44822.9493500672,0.567176393235143,0.392596721209755,0.666666666666667
"122","Iceland",2017,"ISL",0,10,0.5,0,1,40,1,7,40,1,0,1,0,1,0,0,0.2,"0",13,60,1,1,0.18,0.1,0.2,41,0,1,0.2,0.2,0.46249998,1.261743,1.28714798664075,"IS",0.86,0.602353618717047,0.812269350072009,24,7032.3488045007,0.546822043581059,1.18468413031716,0.666666666666667
"123","Ireland",2017,"IRL",1,100,0.5,1,1,12,1,7,30,0.5,0,1,1,0,0,0,0.33,"0",1,40,0,1,0.2,0.2,0.2,72,1,0,0.125,0.51,0.48,1.566288,1.47831286890406,"IE",0.787075165170195,0.479318672008477,0.547953910556565,23,88339.222614841,0.498533689864113,0.655344724286077,0
"124","Israel",2017,"ISR",0,100,0.5,1,0,110,2,14,69,1,0,0,1,0,0,0,0.27,"1",12,60,0,0,0.3,0.24,0.24,54,1,0,0.24,0.27,0.5,5.59539,1.71909144696196,"IL",0.869865253929667,0.391406012913837,0.787075165170195,17,25517.0103092784,0.632540965239364,1.58298924919752,0.666666666666667
"125","Italy",2017,"ITA",0,80,1,1,1,39,2,11,32,1,1,1,1,0,1,1,0.26,"0",1,169,0.95,0.95,0.26,0.26,0.225,97,1,1,0.278064,0.26,0.488131,9.797844,1.21202533087431,"IT",0.760252585046526,0.462657542127945,0.965116279069767,22,40000,0.378756793044304,0.898556474917788,0.666666666666667
"126","Japan",2017,"JPN",0,4.95,1,0,1,38,3,13,21,1,0,1,1,0,1,0,0.204,"0",14,70.5,0.95,0,0.2042,0.2042,0.2042,63,0,0.5,0.2997,0.2032,0.55945,8.632352,1.13836205021925,"JP",0.769602272727273,0.278958448750364,0.787075165170195,8,94939.7132820659,0.7125070110352,1.16426031446005,0.666666666666667
"127","Korea",2017,"KOR",0.5,8,1,1,1,83,2,8,25,1,0,1,1,0,1,1,0,"1",2,80,0,0,0.22,0.22,0.22,91,1,0.5,0.242,0.3784,0.418,3.966328,1.26094950387518,"KR",0.921720532319392,0.547953910556565,0.737888702767901,10,26928.4712482468,0.696451079081173,0.434005612470516,0.666666666666667
"128","Latvia",2017,"LVA",0,75,0.5,0,1,22.5,1,5,66,0.5,0,0,1,0,0,0,0.15,"0",1,80,1,1,0,0,0,59,1,0.5,0.15,0.1,0.23,0.099112,1.03674563462436,"LV",0.905263157894737,0.614285714285714,0.869865253929667,21,98619.3293885602,0.55204813174365,0.519241268918956,0
"129","Lithuania",2017,"LTU",0,70,1,0,1,28,1,8,58,0.5,0,1,0,0,0,0,0.15,NA,2,85,1,1,0.15,0.1,0.1,53,1,0.5,0.15,0.15,0.15,0.256148,1.0708081936756,"LT",0.918446601941748,0.838302752293578,0.980369718309859,21,100223,0.506629640715944,0.276399447393377,0.333333333333333
"130","Luxembourg",2017,"LUX",0,17,1,0,1,19,5,6,22,1,0,1,1,1,0,0,0,"1",12,14,1,1,0.15,0,0,79,0,0.5,0.2708,0.21,0.436,2.902134,1.34225274673982,"LU",0.864209076145449,0.479318672008477,0.869865253929667,17,27777.7777777778,0.920716527656256,0.0624951353014849,0
"131","Mexico",2017,"MEX",0,10,1,0,1,102,1,3,100,0.5,0,0,1,0,0,0,0.1,"1",2,38.5,0,0,0.1,0.4,0.4,55,1,0.5,0.3,0.17142857,0.35,26.87409,1.23753323086121,"MX",0.737888702767901,0.547953910556565,0.737888702767901,16,0,0.334129712488695,0.150324363331223,1
"132","Netherlands",2017,"NLD",1,9,1,1,1,21,1,7,34,0.5,0,1,1,0,0,0,0.3,"1",1,64,1,1,0.15,0,0,96,0,0,0.25,0.25,0.52,1.393037,1.33041468232977,"NL",0.965116279069767,0.338474732816403,0.737888702767901,21,1620.48192771084,0.514299988155268,0.647182877292794,0
"133","New Zealand",2017,"NZL",0,100,0.5,0,1,34,1,4,59,0,0,0,0,0,0,0,0,"1",2,59,1,1,0.3,0.15,0.15,40,0,0.5,0.28,0.06944444,0.33,1.214258,1.48882085086912,"NZ",0.746588594704684,0.310056925996205,0.737888702767901,15,40816.3265306122,0.95224411225627,1.6370654247496,0.333333333333333
"134","Norway",2017,"NOR",0,100,0,0,1,24,1,2,44,1,1,0,1,1,0,0,0.298,"0",1,15,0.97,1,0.25,0,0,87,1,1,0.24,0.2976,0.387,1.6061,1.29670741672978,"NO",0.781818181818182,0.373913043478261,0.737888702767901,25,5102.04081632653,0.565921326183334,0.258610639938548,0.666666666666667
"135","Poland",2017,"POL",0,2.5,1,0,1,70,1,4,96,1,0,1,1,1,1,1,0.19,"0",2,103,1,0,0.19,0.2,0.2,84,1,1,0.19,0.19,0.32,2.110023,1.03865683981747,"PL",0.737888702767901,0.338474732816403,0.869865253929667,23,83333.3333333333,0.441385620326629,1.17202013935306,0.666666666666667
"136","Portugal",2017,"PRT",0,3.5,0.5,1,1,63,1,6,90,0.5,0,1,1,1,0,1,0.28,"1",1,90,1,1,0.25,0.25,0.25,68,1,1,0.295,0.28,0.565,15.855541,1.27074907026445,"PT",0.888411247396436,0.547953910556565,0.737888702767901,23,16949.1525423729,0.492153165545173,0.556028091898628,0.666666666666667
"137","Slovak Republic",2017,"SVK",0,4,0.5,0,1,46,1,6,84,0.5,0,0,0,1,0,0,0,"0",1,62,1,0.21,0.35,0.19,0.19,67,1,1,0.21,0.07,0.25,3.68508,1.11560051461157,"SK",0.873879108036537,0.652728119257913,0.869865253929667,20,99580,0.495470639649474,0.270296931809834,0
"138","Slovenia",2017,"SVN",0,50,0.5,0,0,74,1,8,69,1,0,1,1,1,0,0,0,"1",1,90,0.95,0.475,0.15,0.15,0.15,57,1,0.5,0.19,0.25,0.5,5.194874,1.19671666841248,"SI",0.869865253929667,0.391406012913837,0.737888702767901,22,83333.3333333333,0.583747031500922,0.307901940701031,0
"139","Spain",2017,"ESP",0,70,0.5,1,1,33,1,6,35,1,1,1,1,0,1,0,0.23,"0",1,84,1,1,0.19,0.19,0.19,92,1,1,0.25,0.23,0.45,2.449093,1.12658341600752,"ES",0.778563038959402,0.391406012913837,0.737888702767901,21,0,0.430877668728623,0.687324070182599,0.333333333333333
"140","Sweden",2017,"SWE",1.5,100,0,0,0,50,1,4,36,0.5,0,0,1,0,0,0,0.3,"0",1,36,1,1,0.3,0,0,81,0,0.5,0.22,0.3,0.571,1.503143,1.24350576078361,"SE",0.86,0.479318672008477,0.86,25,0,0.597513703470289,0.516072849865961,0.666666666666667
"141","Switzerland",2017,"CHE",0,7,1,0,0,15,2,10,8,1,1,1,1,1,1,1,0,"1",7,40,1,1,0.35,0.35,0,92,0,0.5,0.21148581,0.21135,0.4167,3.371824,1.36170721338098,"CH",0.86,0.554838709677419,0.905263157894737,8,78125,0.682580340126438,0.0961284141622289,0
"142","Turkey",2017,"TUR",0,5,0.5,1,1,45.5,1,8,91,0.5,0,1,1,0,1,1,0,"1",1,80,1,1,0.15,0.1,0.2,83,0,0.5,0.2,0.175,0.3576,3.460417,1.21117881249185,"TR",0.876323174170354,0.479318672008477,0.632327782275491,18,0,0.400067337416955,0.229869211511665,1
"143","United Kingdom",2017,"GBR",1,100,0,1,1,32,1,6,25,0.5,0,1,1,1,0,1,0.2,"0",1,48,1,1,0,0.2,0.2,126,0,1,0.19,0.381,0.45,4.042911,1.38504927016457,"GB",0.758823529411765,0,0.826923076923077,20,118840.579710145,0.438381144265963,2.52350034088564,0.666666666666667
"144","United States",2017,"USA",2,20,1,0,1,87,2.4,4.6,33,0.5,0,1,1,1,0,1,0.251,"0",3.6,55,0,0,0.3,0.3,0.3,65,0,0.5,0.38906474,0.28506064,0.4625,8.088075,1.25390642247726,"US",0.93846273303009,0.34958311169213,0.632751338890881,7.4,0,0.397,2.00338480541494,0.333333333333333
"145","Australia",2018,"AUS",0,100,0.5,0,1,37,1,6,50,0,0,0,1,0,0,0,0.245,"0",4,18,1,1,0.3,0.1,0.3,44,0,0.5,0.3,0.2428,0.49,2.15994,1.37619491228587,"AU",0.851484971473245,0.479318672008477,0.547953910556565,10,50950.9831162029,0.495677137783973,0.99716766987301,0.333333333333333
"146","Austria",2018,"AUT",0,75,1,0,1,46,1,8,35,1,0,0,1,1,0,0,0.275,"0",3,50,1,1,0.275,0,0.2,88,0,0.5,0.25,0.275,0.55,23.826478,1.12775449123379,"AT",0.813463195231154,0.391406012913837,0.737888702767901,20,37457.4389849533,0.595346920500117,0.123800238666228,0
"147","Belgium",2018,"BEL",0,100,1,1,1,21,1,8,75,0.5,1,1,1,0,0,1,0,"1",2,40,1,1,0.3,0.3,0.3,95,0,0.5,0.2958,0.3,0.529341,1.044424,1.22788012132812,"BE",0.882216122406083,0.622404878792567,0.802532679160089,21,31109.1533083962,0.476392998987602,0.754605893687453,0
"148","Canada",2018,"CAN",3,20,0.5,0,1,45,1,4,50,0.5,0,0,1,1,1,0,0.2675,"0",3,36,1,0.5,0.25,0.25,0.25,93,1,0.5,0.268,0.39343524,0.535296,4.261458,1.18111708242576,"CA",1,0.426086956521739,0.49,5,23975.8898451717,0.474503207079933,1.94800946036414,0.333333333333333
"149","Chile",2018,"CHL",0,100,0.5,0,1,42,1,5,124.5,1,0,1,0,1,0,0,0.35,"0",1,124.5,0,0,0.35,0.35,0.3,32,1,0.5,0.25,0.13333333,0.35,7.727266,1.1460878682868,"CL",0.632611659769417,0.338474732816403,0,19,0,0.638025880525371,0.547940609017748,0.666666666666667
"150","Czech Republic",2018,"CZE",0,5,0.5,0,1,53,1,5,108,1,0,1,1,0,0,0,0.15,"1",2,75,1,1,0.15,0.15,0.15,88,1,0.5,0.19,0.15,0.15,0.3475,1.11493529680338,"CZ",0.873879108036537,0.543222830616488,0.841318847888109,21,76296.5356413544,0.600302406645114,0.125154905749053,0
"151","Denmark",2018,"DNK",0,60,0,0,1,27,3,6,40,0.5,0,1,0,0,0,0,0.42,"0",1,65,1,1,0.27,0.22,0.22,73,1,0.5,0.22,0.42,0.55794,1.265165,1.29658266430956,"DK",0.826923076923077,0.479318672008477,0.81340644290143,25,6907.63633670914,0.596063795426487,0.956928775921047,0.666666666666667
"152","Estonia",2018,"EST",100,100,1,0,0,5,1,7,14,0,0,0,0,0,0,0,0.2,"0",0,31,1,1,0,0,0.1,56,1,0,0.2,0,0.2,0.146481,1.05292647685851,"EE",1,1,1,20,72611.8858395931,0.728150828092231,0.169584467276208,0.666666666666667
"153","Finland",2018,"FIN",0,10,0,0,0,21,1,4,24,0.5,0,1,1,0,0,1,0.34,"0",3,48,1,1,0.2,0,0.2,76,1,1,0.2,0.289,0.5141,1.883456,1.29934892287547,"FI",0.826923076923077,0.518965517241379,0.737888702767901,24,11062.4119155451,0.543890115085756,0.463038754172413,0.666666666666667
"154","France",2018,"FRA",1,50,0.5,1,1,28,1,6,31,1,1,1,1,1,1,1,0.3,"0",2,80,0.95,0.88,0.3,0,0.333,122,1,1,0.3443,0.34,0.54501,14.56943,1.25239151397712,"FR",0.857738015451725,0.547953910556565,0.869865253929667,20,103912.923981672,0.48566405924343,1.69685431093407,0.666666666666667
"155","Germany",2018,"DEU",1,60,1,0,0,41,2,6,43,1,0,1,1,0,0,0,0.26375,"0",1,134,0.95,0.95,0.26375,0,0.15825,95,0,1,0.29889263,0.26375,0.47475,5.441752,1.09954802901742,"DE",0.737888702767901,0.391406012913837,0.869865253929667,19,22456.2808292655,0.556567367932321,0.279540947598984,0.333333333333333
"156","Greece",2018,"GRC",0,5,1,0,1,78,1,6,69,1,0,1,1,0,1,0,0.25,"0",1,46,1,0,0.15,0.15,0.2,57,1,1,0.29,0.15,0.55,11.186065,1.24787973193691,"GR",0.737888702767901,0.479318672008477,0.737888702767901,24,16710.6993594789,0.436878506277984,1.36895730485125,0.333333333333333
"157","Hungary",2018,"HUN",0,2.5,0.5,1,1,35,2,7,96,1,0,1,1,1,0,1,0.15,"0",2,146,1,1,0,0,0,80,0,0.5,0.09,0.15,0.15,0,1,"HU",0.816200383417959,0.278958448750364,0.869865253929667,27,57601.502523673,0.567176393235143,0.3983891743604,0.333333333333333
"158","Iceland",2018,"ISL",0,10,0.5,0,1,40,1,7,40,1,0,1,0,1,0,0,0.22,"0",13,60,1,1,0.2,0.12,0.2,44,0,1,0.2,0.22,0.4624,1.191078,1.28118069605336,"IS",0.86,0.602353618717047,0.812269350072009,24,14202.1555989162,0.546822043581059,1.27634065211815,0.666666666666667
"159","Ireland",2018,"IRL",1,100,0.5,1,1,12,1,7,30,0.5,0,1,1,0,0,0,0.33,"0",1,40,0,1,0.2,0.2,0.2,72,1,0,0.125,0.51,0.48,1.539451,1.47564522989339,"IE",0.787075165170195,0.479318672008477,0.547953910556565,23,92218.141398691,0.498533689864113,0.598073364712666,0
"160","Israel",2018,"ISR",0,100,0.5,1,0,110,2,14,69,1,0,0,1,0,0,0,0.28,"1",12,60,0,0,0.3,0.23,0.23,54,1,0,0.23,0.33,0.5,4.3269,1.73304360691586,"IL",0.869865253929667,0.391406012913837,0.787075165170195,17,26132.3890060412,0.632540965239364,1.59390675430273,0.666666666666667
"161","Italy",2018,"ITA",0,80,1,1,1,39,2,11,30,1,1,1,1,0,1,1,0.26,"0",1,169,0.95,0.95,0.26,0.26,0.225,100,1,1,0.278064,0.26,0.4723,2.707691,1.2117862661496,"IT",0.760252585046526,0.462657542127945,0.965116279069767,22,90380.9627102053,0.378756793044304,0.773251720998303,0.666666666666667
"162","Japan",2018,"JPN",0,5,0.5,0,1,38,3,13,21,1,0,1,1,1,1,0,0.204,"0",14,70.5,0.95,0,0.2,0.2,0.2,66,0,0.5,0.2974,0.2032,0.55945,8.595115,1.13671311343403,"JP",0.769602272727273,0.278958448750364,0.787075165170195,8,100407.568377102,0.7125070110352,1.14679988293645,0.666666666666667
