"ISO_3","year","tax_wedge"
"PRT",2022,1.26309924078494
"SVK",2022,1.13821435014361
"SVN",2022,1.14375392248994
"SWE",2022,1.21848487524366
"TUR",2022,1.16069699543666
"USA",2022,1.31402111278186
"AUS",2023,1.49320054008415
"AUT",2023,1.14377370796562
"BEL",2023,1.29370352891858
"CAN",2023,1.21421446654922
"CHE",2023,1.3435952227803
"CHL",2023,1.09000585097161
"COL",2023,0
"CRI",2023,1.06156649494239
"CZE",2023,1.12460601675097
"DEU",2023,1.12745365431779
"DNK",2023,1.28938377099769
"ESP",2023,1.21803466322833
"EST",2023,1.14775856386714
"FIN",2023,1.32317455109398
"FRA",2023,1.28331240600088
"GBR",2023,1.36512968001758
"GRC",2023,1.297766269854
"HUN",2023,1
"IRL",2023,1.54535096803947
"ISL",2023,1.315148770664
"ISR",2023,1.74325363481153
"ITA",2023,1.31418807275629
"JPN",2023,1.08965558212861
"KOR",2023,1.28200184186276
"LTU",2023,1.16643371093485
"LUX",2023,1.40603191840911
"LVA",2023,1.15791427642582
"MEX",2023,1.17405120821698
"NLD",2023,1.45370039280311
"NOR",2023,1.29788570928616
"NZL",2023,1.38884716803085
"POL",2023,1.13688208806502
"PRT",2023,1.25079733749157
"SVK",2023,1.12887486893274
"SVN",2023,1.15911354227844
"SWE",2023,1.22155470877004
"TUR",2023,1.26341545781337
"USA",2023,1.23756706706397
"AUS",2024,1.35234748522557
"AUT",2024,1.12555944354326
"BEL",2024,1.27883880085416
"CAN",2024,1.21924123846525
"CHE",2024,1.33331323501377
"CHL",2024,1.22516828911619
"COL",2024,0
"CRI",2024,1.06632862581925
"CZE",2024,1.11422488360181
"DEU",2024,1.13469413033554
"DNK",2024,1.22457457699392
"ESP",2024,1.36878461277919
"EST",2024,1.26304301703703
"FIN",2024,1.26779607099085
"FRA",2024,1.29416297253686
"GBR",2024,1.33579364855865
"GRC",2024,1.3036017109643
"HUN",2024,1
"IRL",2024,1.54679108386361
"ISL",2024,1.32843105339243
"ISR",2024,1.78397498064137
"ITA",2024,1.31742303181352
"JPN",2024,1.08696350717722
"KOR",2024,1.28981171159366
"LTU",2024,1.17169616910806
"LUX",2024,1.38650205418208
"LVA",2024,1.16288933964669
"MEX",2024,1.19421738601889
"NLD",2024,1.49175829741166
"NOR",2024,1.30194638988566
"NZL",2024,1.51919952490833
"POL",2024,1.26200861649157
"PRT",2024,1.23009031225222
"SVK",2024,1.1253738935045
"SVN",2024,1.1533352701207
"SWE",2024,1.22191195345925
"TUR",2024,1.26459767434139
"USA",2024,1.24659087064859
"AUS",2025,1.33292112431931
"AUT",2025,1.13117614620725
"BEL",2025,1.28139172526864
"CAN",2025,1.21971729943098
"CHE",2025,1.33831717134604
"CHL",2025,1.2144440052328
"COL",2025,0
"CRI",2025,1.06435677724183
"CZE",2025,1.10583660580548
"DEU",2025,1.06154322008781
"DNK",2025,1.22149278658241
"ESP",2025,1.19569371718618
"EST",2025,1.24427884854386
"FIN",2025,1.28955333341631
"FRA",2025,1.28219188424121
"GBR",2025,1.46243396432343
"GRC",2025,1.28595673277855
"HUN",2025,1.00000000810036
"IRL",2025,1.5526825748322
